,Post
312,"The dogs of Amazon deserve a “round-of-a-paws” for serving so much cuteness!! It’s not an easy job. 🐾 🐶 Fun fact: Our pup-friendly office culture started when one small Corgi named Rufus came to work with his parents in the early days of Amazon. He quickly became a part of the crew, and legend has it, employees used his paw to publish some of the first pages on Amazon.com.Today, there are more than 10,000 dogs registered to come work with employees across the U.S. and Australia, through the Dogs at Work program.Meet 11 of them from our Culver City, California campus!https://lnkd.in/g66kU4we"
313,So a friend told me she is using #jeevansathi.com to see compensation of different companies through people's profiles and then applying there 😂
319,“Being authentic and true to yourself is one of the most important traits one can possess.” Himani shares how embracing equity helped her career prosper: https://lnkd.in/gSgU2Cny #OracleWomen #IWD2023 #OracleForAll
320,"Are you using ChatGPT in your work? For fun, we asked it to write a poem about infrastructure digital twins. Impressive isn’t it?!Have you experimented with #ChatGPT or a similar #chatbot? We’d love to hear how you're using chatbots in the comments below.#infrastructure #digitaltwins #AI #technology"
321,"“Storytelling is healing. It is vital.” Meet Kaci Merriwether-Hawkins, a groundbreaking visual storyteller with a passion for representation. Her Black Girls in Art Spaces community is currently inspiring and connecting women of color in cities all over the United States. Learn more about Kaci’s journey here: https://adobe.ly/3SqHVLe"
322,"We are excited to announce that our newly renovated office in East Brunswick, New Jersey will be Wipro’s headquarters for the Americas, a move that will better position us to support our clients and employees throughout the Americas region. Read more: https://bit.ly/3Zr7VsD #OneWipro #AmbitionsRealized"
328,"Hello connections, Me and my team recently visited centre for advanced studies, AKTU LUCKNOW for the state level ROBO RACE championship. Participants from all over the state presented and competed at the arena designed by students and authorities of centre for advanced studies. The overall experience was great for the fact the we learned and gained so much experience. #aktu #competition #robotics Aashutosh Mishra Rehan Ahmad"
329,"One of the most underrated skill is Offer negotiation.I would like to thank Gaurav sen to make a detailed video on this topic. 1. Prepare Alternatives.2. Appraisals current offer.3. market standard( check out on blind, leetcode, discuss with people who are ready to share)4. Do not negotiate for the other party.5. can you get some tangible benefits.6. what are they looking for.7. Introduce safty bet, gamble.8. Do not buy dreams of futures. do not fear future repercussion.https://lnkd.in/gBaM6Y8wPost Credits :- Gaurav Sen"
332,"IPL gone. F1 gone. HBO gone.What’s happening to Hotstar?👇👇Hotstar is doing something strange.It has given up IPL to Viacom.It has given up F1 to F1TV.And now it is giving up HBO to Prime Video.Why?This is part of Hotstar’s new strategy: Don’t pay for rights. Focus on originals.Before this, Hotstar assumed that if you want to attract subscribers, you must have sports content.That’s why Hotstar paid for expensive IPL rights and expensive F1 rights.But then Netflix showed a new approach: F1 Drive to Survive.Instead of showing live F1 races, Netfix made a documentary about F1 called Drive to Survive.Drive to Survive became a massive hit. F1 fans loved it.But more importantly, Netflix attracted F1 fans without paying for expensive F1 rights.Now, Netflix has started working on DTS Season 6. They have also made documentaries on golf,tennis, NBA, NFL, etc.This Netflix’s Drive to Survive strategy: to attract sports fans, make shows about sports instead of paying for sports rights.It seems that Hotstar is following the same strategy.Hotstar knew that when they gave up IPL, they would lose a lot of subscribers.They lost 3.8 million subscribers immediately, and they are expected to lose upto 15M subscribers. Just from IPL.But Hotstar made the right decision: IPL rights are very expensive. Better to follow Netflix’s Drive to Survive strategy.Now, Hotstar is focusing on its own orignals. Last year, they announced that they are working on 100 new Hotstar Originals.Smart strategy, right?Follow Shreyans Singh for more insights like this.PS: I'm hiring for someone to help me research for my linkedin posts. This is a paid and part time position. If you're interested, please dm."
334,"Great rejoicings and festivities followed the return of Sri Rama to Ayodhya and his crowning as the King. Lord Rama distributed gifts to all the monkeys who had served as warriors in his army. Sri Rama noticed his fervent devotee, Hanumanji and asked:“O mighty hero how am I to compensate you for all you have done for me and my family?”Many would have wanted wealth, name or fame, approbation or recognition or VIP line in return for their services. But Sri Hanuman was above all these:“I desire nothing, Prabhu!”Then, Maa Sita removed a valuable necklace of pearls from her neck and offered it to the humble Sri Hanuman.Sri Hanuman received the necklace with great respect from Mata Sita, but began to break the pearls with His teeth.Sita, and other ministers who were sitting in the council-hall, were quite astonished at this queer act of Sri Hanuman. Some wondered why the noble and great warrior Sri Hanuman was behaving like a monkey. Was it the monkey mind?Sita asked Hanuman, “O mighty Hero! What are You doing? Why do You break the pearls?”Sri Hanuman said, “O venerable Mother! It is the most valuable necklace, indeed, as it has come to me through Thy holy hand. But I want to find out whether any of the pearls contains my beloved Lord Rama. I do not keep a thing devoid of Him. I do not find Him in any of the pearls.”At this, one of the assembly members ironically remarked, “You would not wear any thing that has not got in it the Name of Rama. Well, You are wearing your body. You are carrying it about with you. Prove to us that you have the Name in it.”Hanuman laughed aloud; he said, “I shall prove, See!”Sri Hanuman then tore his chest open with his mighty hands and Lo! Sri Rama and Maa Sita were seated in his heart!Lord Rama came down the throne and embraced Hanuman and blessed Him. He asked him, “Hanuman! What can I offer you on this occasion? I have no gift worthy to be given to you. I am giving you myself as my gift to you.” Then, he offered his body to be clasped by Hanuman’s hands. The assembly was moved into shouts of “Jai ho” at this unique act of Grace. They praised Hanuman and declared that there was no one to equal him in all the worlds. They praised the devotion and dedication of Hanuman.When Sri Rama ascended to His Supreme abode, Hanuman also wished to follow Him. But the Lord asked him to remain in this world as His representative, and attend the assemblies of saints where discourses (katha) on His deeds were held and heard, and help His devotees in cultivating devotion.Hanumanji is a Chiranjeevi (immortal). He is everywhere. He who has devotion beholds Him, and receives His blessing.#india #hanuman #hanumanji #hanumanchalisa #lordhanuman #sanatandharma"
335,Hello everyone!I'm pleased to share that I've been selected as a Web Development Intern for SYNC INTERN'S Internship Program. I am eager to develop my skills and knowledge in the field. Looking forward to sharing updates on this new adventure. #internship #webdevelopment #syncinterns #technicalskills
